Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
Congratulations	3616	2248	736	646	70.9	3.5583	26.8	3.352	5.0
immediately	2446	1616	2319	1552	47.96	3.3886	19.27	3.2087	5.0
opportunity	2091	1534	2042	1518	41.0	3.3206	18.29	3.1861	5.0
Unfortunately	1652	1335	547	506	32.39	3.2183	15.92	3.1258	5.0
unbelievable	1500	1100	891	700	29.41	3.1764	13.11	3.0418	5.0
eventually	1246	992	970	806	24.43	3.0959	11.83	2.9969	5.0
investigation	1491	895	1470	886	29.24	3.1738	10.67	2.9523	5.0
possibility	1035	825	1020	815	20.29	3.0154	9.84	2.917	5.0
particularly	946	785	836	707	18.55	2.9763	9.36	2.8954	5.0
University	1203	693	590	369	23.59	3.0806	8.26	2.8414	5.0
imagination	885	650	873	643	17.35	2.9474	7.75	2.8136	5.0
uncomfortable	798	645	786	637	15.65	2.9025	7.69	2.8102	5.0
extraordinary	771	587	687	536	15.12	2.8876	7.0	2.7694	5.0
personality	811	564	780	551	15.9	2.9096	6.72	2.752	5.0
necessarily	575	505	571	504	11.27	2.7604	6.02	2.7042	5.0
international	725	489	629	433	14.22	2.8609	5.83	2.6902	5.0
individual	596	486	583	475	11.69	2.776	5.79	2.6875	5.0
anniversary	939	452	908	442	18.41	2.9731	5.39	2.6561	5.0
organization	668	442	574	411	13.1	2.8254	5.27	2.6464	5.0
communication	528	433	495	411	10.35	2.7235	5.16	2.6375	5.0
accidentally	449	397	436	388	8.8	2.6532	4.73	2.5999	5.0
electricity	584	373	535	345	11.45	2.7672	4.45	2.5729	5.0
investigating	466	365	446	354	9.14	2.6693	4.35	2.5635	5.0
misunderstanding	422	361	407	356	8.27	2.6263	4.3	2.5587	5.0
curiosity	435	360	395	335	8.53	2.6395	4.29	2.5575	5.0
cooperation	407	337	393	327	7.98	2.6107	4.02	2.5289	5.0
occasionally	364	333	275	258	7.14	2.5623	3.97	2.5237	5.0
approximately	380	321	312	268	7.45	2.5809	3.83	2.5079	5.0
refrigerator	427	314	416	306	8.37	2.6314	3.74	2.4983	5.0
consideration	334	310	332	308	6.55	2.525	3.7	2.4928	5.0
Association	414	309	204	170	8.12	2.618	3.68	2.4914	5.0
sophisticated	346	304	329	290	6.78	2.5403	3.62	2.4843	5.0
humiliated	339	302	329	297	6.65	2.5315	3.6	2.4814	5.0
originally	355	299	289	249	6.96	2.5514	3.56	2.4771	5.0
possibilities	386	294	374	290	7.57	2.5877	3.51	2.4698	5.0
civilization	425	291	394	274	8.33	2.6294	3.47	2.4654	5.0
administration	387	286	315	234	7.59	2.5888	3.41	2.4579	5.0
inappropriate	338	284	325	280	6.63	2.5302	3.39	2.4548	5.0
communications	398	283	300	232	7.8	2.601	3.37	2.4533	5.0
psychological	343	281	331	273	6.73	2.5366	3.35	2.4502	5.0
unnecessary	316	280	301	270	6.2	2.5011	3.34	2.4487	5.0
appreciated	292	273	292	273	5.73	2.4669	3.25	2.4378	5.0
experiences	358	273	358	273	7.02	2.5551	3.25	2.4378	5.0
deliberately	319	269	314	266	6.25	2.5051	3.21	2.4314	5.0
Philadelphia	539	260	4	2	10.57	2.7324	3.1	2.4166	5.0
inevitable	288	252	283	250	5.65	2.4609	3.0	2.4031	5.0
humiliating	300	251	283	241	5.88	2.4786	2.99	2.4014	5.0
appreciation	261	238	246	229	5.12	2.4183	2.84	2.3784	5.0
underestimate	258	234	258	234	5.06	2.4133	2.79	2.3711	5.0
unacceptable	271	231	224	196	5.31	2.4346	2.75	2.3655	5.0
opportunities	249	227	238	218	4.88	2.3979	2.71	2.3579	5.0
biological	300	222	282	212	5.88	2.4786	2.65	2.3483	5.0
cafeteria	289	218	273	207	5.67	2.4624	2.6	2.3404	5.0
recommendation	258	215	253	211	5.06	2.4133	2.56	2.3345	5.0
interrogation	289	211	269	197	5.67	2.4624	2.52	2.3263	5.0
preliminary	244	211	209	189	4.78	2.3892	2.52	2.3263	5.0
humiliation	238	210	226	202	4.67	2.3784	2.5	2.3243	5.0
examination	281	207	270	201	5.51	2.4502	2.47	2.3181	5.0
temporarily	232	207	203	185	4.55	2.3674	2.47	2.3181	5.0
considerable	231	206	226	202	4.53	2.3655	2.46	2.316	5.0
enthusiasm	229	204	228	203	4.49	2.3617	2.43	2.3118	5.0
hospitality	231	203	227	201	4.53	2.3655	2.42	2.3096	5.0
representative	270	203	247	192	5.29	2.433	2.42	2.3096	5.0
irresponsible	237	201	226	194	4.65	2.3766	2.4	2.3054	5.0
automatically	213	196	211	194	4.18	2.3304	2.34	2.2945	5.0
individuals	224	196	219	193	4.39	2.3522	2.34	2.2945	5.0
experiencing	221	189	216	187	4.33	2.3464	2.25	2.2788	5.0
intellectual	234	188	222	182	4.59	2.3711	2.24	2.2765	5.0
investigator	311	188	305	185	6.1	2.4942	2.24	2.2765	5.0
understandable	201	187	177	169	3.94	2.3054	2.23	2.2742	5.0
assassination	281	176	269	170	5.51	2.4502	2.1	2.248	5.0
associated	200	176	176	162	3.92	2.3032	2.1	2.248	5.0
overreacting	189	167	183	166	3.71	2.2788	1.99	2.2253	5.0
experimental	199	165	179	154	3.9	2.301	1.97	2.2201	5.0
Incidentally	193	165	91	84	3.78	2.2878	1.97	2.2201	5.0
imaginary	222	162	217	159	4.35	2.3483	1.93	2.2122	5.0
unpredictable	175	159	171	155	3.43	2.2455	1.9	2.2041	5.0
vegetarian	202	156	192	152	3.96	2.3075	1.86	2.1959	5.0
evaluation	225	152	216	146	4.41	2.3541	1.81	2.1847	5.0
generosity	171	152	162	148	3.35	2.2355	1.81	2.1847	5.0
unidentified	187	147	153	122	3.67	2.2742	1.75	2.1703	5.0
authorization	184	144	166	134	3.61	2.2672	1.72	2.1614	5.0
operational	195	143	193	143	3.82	2.2923	1.7	2.1584	5.0
supernatural	225	142	215	139	4.41	2.3541	1.69	2.1553	5.0
educational	167	141	150	132	3.27	2.2253	1.68	2.1523	5.0
negotiating	155	141	146	133	3.04	2.1931	1.68	2.1523	5.0
antibiotics	187	140	171	131	3.67	2.2742	1.67	2.1492	5.0
credibility	163	139	162	139	3.2	2.2148	1.66	2.1461	5.0
eliminated	166	139	164	138	3.25	2.2227	1.66	2.1461	5.0
investigated	161	139	161	139	3.16	2.2095	1.66	2.1461	5.0
homosexual	241	137	219	130	4.73	2.3838	1.63	2.1399	5.0
liability	158	137	150	129	3.1	2.2014	1.63	2.1399	5.0
anticipated	134	133	134	133	2.63	2.1303	1.59	2.1271	5.0
documentary	298	133	287	132	5.84	2.4757	1.59	2.1271	5.0
enthusiastic	142	129	134	122	2.78	2.1553	1.54	2.1139	5.0
determination	142	128	134	121	2.78	2.1553	1.53	2.1106	5.0
sensitivity	148	127	135	118	2.9	2.1732	1.51	2.1072	5.0
irresistible	165	126	159	124	3.24	2.2201	1.5	2.1038	5.0
apologizing	139	125	136	122	2.73	2.1461	1.49	2.1004	5.0
politically	150	124	138	117	2.94	2.179	1.48	2.0969	5.0
negotiations	174	123	154	115	3.41	2.243	1.47	2.0934	5.0
popularity	149	123	140	115	2.92	2.1761	1.47	2.0934	5.0
intimidated	137	121	136	121	2.69	2.1399	1.44	2.0864	5.0
penitentiary	144	121	101	85	2.82	2.1614	1.44	2.0864	5.0
insignificant	134	117	128	112	2.63	2.1303	1.39	2.0719	5.0
anticipation	127	116	124	113	2.49	2.1072	1.38	2.0682	5.0
investigators	137	116	115	104	2.69	2.1399	1.38	2.0682	5.0
communicating	121	115	112	107	2.37	2.0864	1.37	2.0645	5.0
environmental	167	115	138	95	3.27	2.2253	1.37	2.0645	5.0
professionally	123	115	107	102	2.41	2.0934	1.37	2.0645	5.0
Louisiana	226	114	0	0	4.43	2.356	1.36	2.0607	5.0
personalities	151	112	146	108	2.96	2.1818	1.34	2.0531	5.0
sexuality	158	112	152	110	3.1	2.2014	1.34	2.0531	5.0
interpretation	130	111	127	108	2.55	2.1173	1.32	2.0492	5.0
radioactive	163	111	150	104	3.2	2.2148	1.32	2.0492	5.0
representation	127	110	123	106	2.49	2.1072	1.31	2.0453	5.0
