Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
everybody	17555	5691	10979	4685	344.22	4.2444	67.85	3.7553	4.0	1020
actually	16439	5486	11254	4572	322.33	4.2159	65.4	3.7393	4.0	1000
anybody	11573	4863	9361	4422	226.92	4.0635	57.98	3.687	4.0	1000
absolutely	5769	3291	3032	2053	113.12	3.7612	39.23	3.5175	4.0	2010
appreciate	4373	2885	4198	2809	85.75	3.6409	34.39	3.4603	4.0	0102
situation	4207	2505	4138	2488	82.49	3.6241	29.86	3.399	4.0	2010
definitely	3848	2391	2972	2028	75.45	3.5853	28.51	3.3788	4.0	1000
information	4557	2373	4449	2344	89.35	3.6588	28.29	3.3755	4.0	2010
usually	3214	2317	2715	2028	63.02	3.5072	27.62	3.3651	4.0	1000
seriously	3270	2186	2082	1585	64.12	3.5147	26.06	3.3398	4.0	1000
obviously	3082	2146	2062	1564	60.43	3.489	25.58	3.3318	4.0	1000
American	5213	2090	83	53	102.22	3.7172	24.92	3.3204	4.0	0100
impossible	3015	2060	2668	1896	59.12	3.4794	24.56	3.3141	4.0	0100
security	4810	2046	3768	1785	94.31	3.6822	24.39	3.3111	4.0	0100
experience	3088	1991	3027	1958	60.55	3.4898	23.74	3.2993	4.0	0100
ridiculous	2836	1989	2676	1921	55.61	3.4529	23.71	3.2989	4.0	0100
relationship	3452	1870	3426	1863	67.69	3.5382	22.29	3.2721	4.0	0102
conversation	2543	1789	2503	1770	49.86	3.4055	21.33	3.2529	4.0	2010
America	3974	1780	13	13	77.92	3.5993	21.22	3.2507	4.0	0100
comfortable	2408	1763	2348	1733	47.22	3.3818	21.02	3.2465	4.0	1000
Apparently	2415	1729	984	802	47.35	3.3831	20.61	3.238	4.0	0100
necessary	2345	1702	2317	1692	45.98	3.3703	20.29	3.2312	4.0	1020
apologize	2518	1685	2394	1649	49.37	3.4012	20.09	3.2269	4.0	0102
emergency	2776	1646	2329	1506	54.43	3.4436	19.62	3.2167	4.0	0100
responsible	2298	1638	2275	1630	45.06	3.3615	19.53	3.2146	4.0	0100
personally	1870	1483	1542	1243	36.67	3.2721	17.68	3.1714	4.0	1000
incredible	1928	1332	1732	1233	37.8	3.2853	15.88	3.1248	4.0	0100
operation	2241	1197	1956	1112	43.94	3.3506	14.27	3.0785	4.0	2010
professional	1646	1173	1530	1130	32.27	3.2167	13.98	3.0697	4.0	0100
particular	1423	1096	1418	1095	27.9	3.1535	13.07	3.0402	4.0	0100
available	1323	1069	1296	1057	25.94	3.1219	12.74	3.0294	4.0	0100
complicated	1385	1055	1350	1040	27.16	3.1418	12.58	3.0237	4.0	1020
original	1440	1048	1382	1013	28.24	3.1587	12.49	3.0208	4.0	0100
society	1679	1025	1309	880	32.92	3.2253	12.22	3.0111	4.0	0100
military	2103	958	1896	909	41.24	3.323	11.42	2.9818	4.0	1020
California	1972	939	9	9	38.67	3.2951	11.19	2.9731	4.0	2010
circumstances	1170	938	1147	930	22.94	3.0686	11.18	2.9727	4.0	1020
television	1729	935	1628	891	33.9	3.238	11.15	2.9713	4.0	1020
unusual	1210	931	1167	908	23.73	3.0831	11.1	2.9694	4.0	0100
disappointed	1124	928	1074	900	22.04	3.0512	11.06	2.968	4.0	2010
embarrassing	1165	926	1128	901	22.84	3.0667	11.04	2.9671	4.0	0100
reality	1543	918	1449	883	30.25	3.1886	10.94	2.9633	4.0	0100
community	1486	916	1381	859	29.14	3.1723	10.92	2.9624	4.0	0100
understanding	1117	895	1087	879	21.9	3.0484	10.67	2.9523	4.0	2010
naturally	1250	857	686	551	24.51	3.0973	10.22	2.9335	4.0	1000
Previously	923	856	129	115	18.1	2.9657	10.21	2.933	4.0	1000
miserable	1096	854	1049	829	21.49	3.0402	10.18	2.932	4.0	1000
considering	973	838	803	713	19.08	2.9886	9.99	2.9238	4.0	0100
material	1129	825	1121	821	22.14	3.0531	9.84	2.917	4.0	0100
entirely	1026	810	997	797	20.12	3.0116	9.66	2.909	4.0	0100
explanation	1023	794	1012	788	20.06	3.0103	9.47	2.9004	4.0	2010
authority	1082	791	989	740	21.22	3.0346	9.43	2.8987	4.0	0100
secretary	1694	782	1147	654	33.22	3.2292	9.32	2.8938	4.0	1020
emotional	1081	767	1040	744	21.2	3.0342	9.14	2.8854	4.0	0100
coincidence	948	742	898	709	18.59	2.9773	8.85	2.871	4.0	0100
reputation	983	734	979	732	19.27	2.993	8.75	2.8663	4.0	2010
ordinary	973	708	928	693	19.08	2.9886	8.44	2.8506	4.0	1020
delivery	1017	703	914	651	19.94	3.0077	8.38	2.8476	4.0	0100
education	996	683	887	633	19.53	2.9987	8.14	2.8351	4.0	2010
ability	980	679	974	673	19.22	2.9917	8.09	2.8325	4.0	0100
elevator	1245	676	1162	642	24.41	3.0955	8.06	2.8306	4.0	1020
reasonable	946	668	904	661	18.55	2.9763	7.96	2.8254	4.0	1000
Americans	1293	664	31	17	25.35	3.1119	7.92	2.8228	4.0	0100
officially	775	657	705	607	15.2	2.8899	7.83	2.8182	4.0	0100
intelligence	983	648	902	610	19.27	2.993	7.73	2.8122	4.0	0100
political	1115	646	1043	618	21.86	3.0477	7.7	2.8109	4.0	0100
apology	804	636	741	590	15.76	2.9058	7.58	2.8041	4.0	0100
identify	825	619	750	574	16.18	2.917	7.38	2.7924	4.0	0102
