Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
Congratulations	3616	2248	736	646	70.9	3.5583	26.8	3.352	5.0	02010
immediately	2446	1616	2319	1552	47.96	3.3886	19.27	3.2087	5.0	01000
opportunity	2091	1534	2042	1518	41.0	3.3206	18.29	3.1861	5.0	20100
Unfortunately	1652	1335	547	506	32.39	3.2183	15.92	3.1258	5.0	01000
unbelievable	1500	1100	891	700	29.41	3.1764	13.11	3.0418	5.0	20100
eventually	1246	992	970	806	24.43	3.0959	11.83	2.9969	5.0	01000
investigation	1491	895	1470	886	29.24	3.1738	10.67	2.9523	5.0	02010
possibility	1035	825	1020	815	20.29	3.0154	9.84	2.917	5.0	20100
particularly	946	785	836	707	18.55	2.9763	9.36	2.8954	5.0	21000
University	1203	693	590	369	23.59	3.0806	8.26	2.8414	5.0	20100
imagination	885	650	873	643	17.35	2.9474	7.75	2.8136	5.0	02010
uncomfortable	798	645	786	637	15.65	2.9025	7.69	2.8102	5.0	01000
extraordinary	771	587	687	536	15.12	2.8876	7.0	2.7694	5.0	01020
personality	811	564	780	551	15.9	2.9096	6.72	2.752	5.0	20100
necessarily	575	505	571	504	11.27	2.7604	6.02	2.7042	5.0	20100
international	725	489	629	433	14.22	2.8609	5.83	2.6902	5.0	20100
individual	596	486	583	475	11.69	2.776	5.79	2.6875	5.0	20100
anniversary	939	452	908	442	18.41	2.9731	5.39	2.6561	5.0	20100
organization	668	442	574	411	13.1	2.8254	5.27	2.6464	5.0	20010
communication	528	433	495	411	10.35	2.7235	5.16	2.6375	5.0	02010
accidentally	449	397	436	388	8.8	2.6532	4.73	2.5999	5.0	20100
electricity	584	373	535	345	11.45	2.7672	4.45	2.5729	5.0	02100
investigating	466	365	446	354	9.14	2.6693	4.35	2.5635	5.0	01020
misunderstanding	422	361	407	356	8.27	2.6263	4.3	2.5587	5.0	20010
curiosity	435	360	395	335	8.53	2.6395	4.29	2.5575	5.0	20100
cooperation	407	337	393	327	7.98	2.6107	4.02	2.5289	5.0	02010
occasionally	364	333	275	258	7.14	2.5623	3.97	2.5237	5.0	01000
approximately	380	321	312	268	7.45	2.5809	3.83	2.5079	5.0	01000
refrigerator	427	314	416	306	8.37	2.6314	3.74	2.4983	5.0	01020
consideration	334	310	332	308	6.55	2.525	3.7	2.4928	5.0	02010
Association	414	309	204	170	8.12	2.618	3.68	2.4914	5.0	02010
sophisticated	346	304	329	290	6.78	2.5403	3.62	2.4843	5.0	01020
humiliated	339	302	329	297	6.65	2.5315	3.6	2.4814	5.0	01020
originally	355	299	289	249	6.96	2.5514	3.56	2.4771	5.0	01000
possibilities	386	294	374	290	7.57	2.5877	3.51	2.4698	5.0	20100
civilization	425	291	394	274	8.33	2.6294	3.47	2.4654	5.0	20010
administration	387	286	315	234	7.59	2.5888	3.41	2.4579	5.0	02010
inappropriate	338	284	325	280	6.63	2.5302	3.39	2.4548	5.0	20100
communications	398	283	300	232	7.8	2.601	3.37	2.4533	5.0	02010
psychological	343	281	331	273	6.73	2.5366	3.35	2.4502	5.0	20100
unnecessary	316	280	301	270	6.2	2.5011	3.34	2.4487	5.0	01020
appreciated	292	273	292	273	5.73	2.4669	3.25	2.4378	5.0	01020
experiences	358	273	358	273	7.02	2.5551	3.25	2.4378	5.0	01000
deliberately	319	269	314	266	6.25	2.5051	3.21	2.4314	5.0	01000
Philadelphia	539	260	4	2	10.57	2.7324	3.1	2.4166	5.0	20100
inevitable	288	252	283	250	5.65	2.4609	3.0	2.4031	5.0	01000
humiliating	300	251	283	241	5.88	2.4786	2.99	2.4014	5.0	01020
appreciation	261	238	246	229	5.12	2.4183	2.84	2.3784	5.0	02010
underestimate	258	234	258	234	5.06	2.4133	2.79	2.3711	5.0	10102
unacceptable	271	231	224	196	5.31	2.4346	2.75	2.3655	5.0	20100
opportunities	249	227	238	218	4.88	2.3979	2.71	2.3579	5.0	20100
biological	300	222	282	212	5.88	2.4786	2.65	2.3483	5.0	20100
cafeteria	289	218	273	207	5.67	2.4624	2.6	2.3404	5.0	20100
recommendation	258	215	253	211	5.06	2.4133	2.56	2.3345	5.0	20010
interrogation	289	211	269	197	5.67	2.4624	2.52	2.3263	5.0	02010
preliminary	244	211	209	189	4.78	2.3892	2.52	2.3263	5.0	01020
humiliation	238	210	226	202	4.67	2.3784	2.5	2.3243	5.0	02010
examination	281	207	270	201	5.51	2.4502	2.47	2.3181	5.0	02010
temporarily	232	207	203	185	4.55	2.3674	2.47	2.3181	5.0	20100
considerable	231	206	226	202	4.53	2.3655	2.46	2.316	5.0	01000
enthusiasm	229	204	228	203	4.49	2.3617	2.43	2.3118	5.0	01020
hospitality	231	203	227	201	4.53	2.3655	2.42	2.3096	5.0	20100
representative	270	203	247	192	5.29	2.433	2.42	2.3096	5.0	20100
